CustomerID,Gender,Age,City,AnnualIncome_juta,SpendingScore,Recency_hari,Frequency_bulan,MonetaryValue_ribu,PreferredCategory
CUST00029,Male,48,Yogyakarta,46.8,26,60,7,253,Electronics
CUST00030,Female,28,Surabaya,27.0,49,11,9,151,Home & Living
CUST00031,Female,40,Surabaya,70.3,61,11,35,612,Electronics
CUST00032,Female,32,Bandung,98.1,93,2,45,856,Electronics
CUST00033,Female,58,Palembang,21.6,16,94,2,109,Home & Living
CUST00034,Male,44,Jakarta,62.8,54,13,31,404,Electronics
CUST00035,Male,25,Bandung,37.1,52,1,6,128,Food & Beverage
CUST00036,Female,20,Jakarta,32.1,55,6,6,160,Fashion
CUST00037,Female,24,Surabaya,29.0,50,3,7,317,Electronics
CUST00038,Female,63,Surabaya,26.0,7,101,1,10,Food & Beverage
CUST00039,Female,51,Bandung,50.7,33,60,9,278,Food & Beverage
CUST00040,Male,24,Jakarta,29.1,46,7,3,262,Food & Beverage
CUST00041,Female,20,Makassar,40.9,53,2,2,365,Fashion
CUST00042,Female,28,Semarang,91.2,94,16,44,1066,Beauty
CUST00043,Female,23,Palembang,18.6,53,5,4,224,Home & Living
CUST00044,Female,49,Surabaya,43.3,33,59,10,226,Food & Beverage
CUST00045,Female,26,Makassar,90.1,85,1,46,978,Food & Beverage
CUST00046,Male,46,Medan,65.5,61,11,27,421,Beauty
CUST00047,Female,32,Jakarta,102.3,90,4,46,945,Sports
CUST00048,Male,38,Surabaya,74.2,62,14,32,388,Food & Beverage
CUST00049,Male,34,Jakarta,106.6,82,1,44,821,Electronics
CUST00050,Male,59,Surabaya,24.3,12,92,1,10,Food & Beverage
CUST00051,Male,27,Yogyakarta,96.4,83,8,40,963,Food & Beverage
CUST00052,Male,66,Jakarta,26.1,14,94,2,258,Beauty
CUST00053,Female,31,Yogyakarta,94.9,84,4,38,876,Fashion
CUST00054,Male,47,Surabaya,48.7,33,52,14,107,Home & Living
CUST00055,Female,20,Semarang,87.6,87,1,43,908,Electronics
CUST00056,Female,57,Medan,20.8,12,101,1,100,Fashion
CUST00057,Female,30,Medan,93.5,90,8,48,1047,Fashion
CUST00058,Male,56,Bandung,14.7,4,97,1,78,Electronics
CUST00059,Male,49,Bandung,65.3,63,17,28,626,Home & Living
CUST00060,Male,34,Yogyakarta,99.1,87,9,43,840,Fashion
CUST00061,Male,43,Medan,51.7,32,62,7,67,Electronics
CUST00062,Female,61,Medan,20.6,15,97,4,10,Electronics
CUST00063,Female,45,Surabaya,72.8,65,9,30,341,Beauty
CUST00064,Male,28,Jakarta,89.6,89,1,45,930,Electronics
CUST00065,Male,45,Jakarta,57.1,38,59,11,279,Beauty
CUST00066,Male,44,Palembang,36.4,37,56,12,150,Food & Beverage
CUST00067,Male,21,Semarang,92.7,89,6,43,1026,Electronics
CUST00068,Male,25,Palembang,87.8,89,5,44,900,Sports
CUST00069,Female,48,Semarang,44.1,34,59,6,76,Food & Beverage
CUST00070,Female,21,Jakarta,27.1,47,12,6,94,Fashion
CUST00071,Female,39,Bandung,61.4,61,8,32,468,Fashion
CUST00072,Male,25,Jakarta,28.0,52,1,6,85,Fashion
CUST00073,Male,27,Makassar,30.0,45,8,6,253,Electronics
CUST00074,Female,24,Jakarta,34.8,52,6,3,56,Electronics
CUST00075,Female,41,Medan,68.0,67,9,29,368,Fashion
CUST00076,Female,45,Medan,72.4,60,18,32,573,Food & Beverage
CUST00077,Female,62,Medan,20.4,11,92,2,115,Home & Living
CUST00078,Female,25,Makassar,101.6,88,4,39,976,Fashion
CUST00079,Female,51,Semarang,40.7,40,57,10,180,Electronics
CUST00080,Female,62,Surabaya,23.9,13,95,1,10,Electronics
CUST00081,Female,45,Surabaya,45.2,34,62,13,274,Fashion
CUST00082,Female,26,Jakarta,30.4,54,1,1,256,Home & Living
CUST00083,Male,30,Yogyakarta,95.9,91,2,46,921,Fashion
CUST00084,Female,49,Jakarta,49.9,42,57,9,244,Electronics
CUST00085,Female,51,Bandung,39.1,39,58,14,170,Beauty
CUST00086,Male,23,Bandung,98.7,89,1,43,915,Home & Living
CUST00087,Female,41,Bandung,72.6,60,24,31,501,Sports
CUST00088,Male,42,Bandung,66.5,58,11,28,376,Food & Beverage
CUST00089,Male,55,Semarang,26.0,12,98,1,10,Food & Beverage
CUST00090,Female,31,Jakarta,90.9,95,1,43,998,Sports
CUST00091,Male,41,Jakarta,62.1,64,5,28,423,Food & Beverage
CUST00092,Female,62,Makassar,20.2,12,95,1,33,Food & Beverage
CUST00093,Male,44,Bandung,70.0,58,20,26,499,Electronics
CUST00094,Male,65,Jakarta,15.9,16,97,4,61,Fashion
CUST00095,Female,47,Medan,70.8,56,9,33,375,Food & Beverage
CUST00096,Male,23,Jakarta,88.4,90,2,43,884,Food & Beverage
CUST00097,Male,60,Jakarta,17.4,13,100,1,10,Fashion
CUST00098,Male,61,Surabaya,16.6,11,96,6,14,Home & Living
CUST00099,Female,26,Surabaya,97.4,86,9,45,910,Electronics
CUST00100,Female,46,Makassar,49.7,39,61,8,212,Beauty
CUST00101,Male,19,Surabaya,32.6,51,10,3,122,Home & Living
CUST00102,Female,42,Semarang,60.7,65,9,33,504,Beauty
CUST00103,Male,45,Bandung,42.9,39,61,15,407,Electronics
CUST00104,Female,64,Jakarta,18.5,15,97,3,42,Home & Living
CUST00105,Female,29,Jakarta,95.2,89,7,45,832,Home & Living
CUST00106,Female,24,Jakarta,91.9,86,7,46,867,Electronics
CUST00107,Female,22,Surabaya,33.7,43,4,7,329,Fashion
CUST00108,Female,25,Palembang,89.4,91,3,45,811,Fashion
CUST00109,Male,22,Jakarta,30.8,51,1,7,309,Fashion
CUST00110,Female,25,Surabaya,96.5,89,2,41,907,Electronics
CUST00111,Female,59,Makassar,25.7,15,101,1,111,Fashion
CUST00112,Male,63,Makassar,19.2,14,101,2,10,Home & Living
CUST00113,Male,25,Semarang,27.2,48,6,2,270,Beauty
CUST00114,Female,30,Bandung,91.6,84,3,41,879,Fashion
CUST00115,Male,22,Medan,33.3,51,4,1,237,Fashion
CUST00116,Male,44,Bandung,63.3,59,16,32,496,Fashion
CUST00117,Male,45,Makassar,65.9,62,11,33,353,Food & Beverage
CUST00118,Female,48,Surabaya,49.1,33,59,8,126,Electronics
CUST00119,Male,23,Makassar,24.4,58,13,7,68,Food & Beverage
CUST00120,Male,27,Medan,82.9,85,6,48,866,Sports
CUST00121,Female,26,Bandung,99.2,93,2,47,892,Food & Beverage
CUST00122,Female,68,Medan,18.3,14,97,1,60,Fashion
CUST00123,Female,46,Surabaya,48.9,35,58,9,84,Electronics
CUST00124,Female,26,Surabaya,41.2,56,9,6,221,Food & Beverage
CUST00125,Female,30,Makassar,97.2,90,7,40,926,Electronics
CUST00126,Female,27,Surabaya,38.1,51,9,1,107,Fashion
CUST00127,Female,45,Medan,82.1,59,16,28,542,Fashion
CUST00128,Female,44,Medan,48.2,37,60,12,272,Fashion
CUST00129,Male,28,Makassar,94.5,86,6,44,967,Sports
CUST00130,Female,58,Bandung,20.8,11,93,4,10,Home & Living
CUST00131,Male,45,Yogyakarta,42.2,37,67,12,190,Electronics
CUST00132,Male,42,Palembang,65.8,59,20,30,560,Fashion
CUST00133,Male,24,Jakarta,38.4,47,10,5,258,Home & Living
CUST00134,Male,21,Semarang,32.8,53,3,3,253,Beauty
CUST00135,Male,44,Medan,65.3,57,13,34,450,Food & Beverage
CUST00136,Male,33,Bandung,95.1,90,1,48,885,Beauty
CUST00137,Female,23,Surabaya,33.0,47,10,1,215,Fashion
CUST00138,Female,38,Jakarta,65.4,56,10,26,581,Electronics
CUST00139,Female,25,Medan,86.0,83,7,50,864,Sports
CUST00140,Male,44,Surabaya,51.1,39,60,16,284,Fashion
CUST00141,Female,26,Bandung,93.9,87,5,42,878,Electronics
CUST00142,Male,43,Jakarta,65.0,58,11,27,492,Home & Living
CUST00143,Male,29,Jakarta,32.6,45,5,5,153,Fashion
CUST00144,Female,45,Makassar,65.4,57,13,32,462,Electronics
CUST00145,Female,24,Jakarta,96.1,94,8,44,906,Beauty
CUST00146,Male,63,Jakarta,27.8,12,90,1,70,Electronics
CUST00147,Male,21,Bandung,30.8,47,9,3,187,Food & Beverage
CUST00148,Female,61,Semarang,10.8,15,98,4,35,Food & Beverage
CUST00149,Male,48,Jakarta,66.2,58,25,32,355,Sports
CUST00150,Male,62,Bandung,19.5,11,95,1,10,Fashion
CUST00151,Female,46,Medan,66.5,57,19,33,481,Food & Beverage
CUST00152,Female,22,Semarang,31.7,49,3,5,127,Fashion
CUST00153,Male,31,Yogyakarta,23.5,49,1,3,302,Fashion
CUST00154,Female,21,Jakarta,32.9,52,6,2,114,Electronics
CUST00155,Female,32,Yogyakarta,98.9,90,1,42,996,Beauty
CUST00156,Male,27,Palembang,94.1,90,1,43,850,Electronics
CUST00157,Male,24,Makassar,34.9,47,14,2,235,Electronics
CUST00158,Female,28,Yogyakarta,29.0,52,3,1,208,Home & Living
CUST00159,Male,49,Jakarta,70.7,57,15,28,555,Food & Beverage
CUST00160,Female,29,Palembang,93.1,94,6,44,899,Home & Living
CUST00161,Female,45,Semarang,70.0,58,11,26,512,Food & Beverage
CUST00162,Male,49,Jakarta,48.7,34,60,6,171,Sports
CUST00163,Female,27,Medan,28.5,53,6,3,132,Sports
CUST00164,Male,48,Semarang,50.3,43,58,10,174,Home & Living
CUST00165,Female,66,Medan,21.9,12,94,2,10,Fashion
CUST00166,Male,27,Makassar,94.8,88,5,45,1003,Electronics
CUST00167,Female,25,Semarang,96.9,87,3,42,828,Food & Beverage
CUST00168,Male,41,Jakarta,75.5,67,11,29,446,Electronics
CUST00169,Male,43,Surabaya,64.0,63,10,31,486,Beauty
CUST00170,Female,62,Bandung,20.6,16,88,3,111,Food & Beverage
CUST00171,Male,44,Surabaya,48.2,33,58,8,260,Food & Beverage
CUST00172,Male,46,Medan,60.8,63,15,27,386,Electronics
CUST00173,Female,50,Jakarta,37.2,33,51,9,273,Food & Beverage
CUST00174,Male,41,Surabaya,61.6,62,18,32,454,Electronics
CUST00175,Female,46,Jakarta,54.9,63,16,30,503,Fashion
CUST00176,Female,28,Surabaya,93.3,82,1,46,947,Fashion
CUST00177,Female,43,Semarang,57.5,61,13,32,472,Electronics
CUST00178,Male,46,Jakarta,46.6,35,56,9,225,Fashion
CUST00179,Male,45,Yogyakarta,44.5,33,61,10,360,Home & Living
CUST00180,Female,47,Medan,41.8,34,56,14,188,Electronics
CUST00181,Male,47,Surabaya,67.1,67,17,30,516,Food & Beverage
CUST00182,Female,47,Bandung,53.0,38,60,11,293,Fashion
CUST00183,Male,40,Medan,68.1,58,12,33,457,Home & Living
CUST00184,Male,52,Semarang,50.2,39,55,12,109,Food & Beverage
CUST00185,Female,40,Makassar,63.9,59,8,29,499,Home & Living
CUST00186,Male,59,Surabaya,17.0,13,95,1,10,Sports
CUST00187,Male,20,Makassar,28.6,53,1,6,127,Food & Beverage
CUST00188,Male,37,Makassar,91.7,85,1,41,880,Electronics
CUST00189,Female,27,Makassar,94.1,92,9,43,875,Electronics
CUST00190,Male,23,Jakarta,34.8,47,16,3,323,Electronics
CUST00191,Female,35,Jakarta,100.0,90,1,48,999,Fashion
CUST00192,Male,28,Medan,91.2,96,5,39,950,Home & Living
CUST00193,Male,48,Palembang,69.9,57,19,35,540,Beauty
CUST00194,Male,32,Jakarta,35.3,44,8,3,154,Food & Beverage
CUST00195,Male,30,Semarang,89.9,93,7,45,955,Food & Beverage
CUST00196,Male,40,Jakarta,66.4,63,12,37,447,Beauty
CUST00197,Male,22,Palembang,31.4,47,7,3,125,Electronics
CUST00198,Female,62,Makassar,22.5,15,95,1,10,Fashion
CUST00199,Female,48,Surabaya,61.0,64,15,34,621,Electronics
CUST00200,Female,24,Jakarta,44.6,40,4,3,171,Sports
CUST00201,Female,25,Bandung,97.1,77,5,43,888,Electronics
CUST00202,Male,28,Bandung,45.2,44,13,4,235,Sports
CUST00203,Male,67,Bandung,18.1,15,95,4,106,Home & Living
CUST00204,Female,57,Makassar,28.6,18,97,1,155,Food & Beverage
CUST00205,Female,57,Palembang,19.8,14,98,5,10,Fashion
CUST00206,Male,60,Bandung,19.0,5,95,3,165,Food & Beverage
CUST00207,Female,59,Jakarta,17.8,13,100,1,10,Food & Beverage
CUST00208,Male,47,Surabaya,69.8,55,8,33,384,Food & Beverage
CUST00209,Female,46,Semarang,48.9,25,57,13,102,Beauty
CUST00210,Male,61,Medan,24.3,17,92,2,74,Electronics
CUST00211,Male,49,Jakarta,71.3,58,17,29,373,Electronics
CUST00212,Male,45,Jakarta,68.8,62,18,32,518,Home & Living
CUST00213,Male,27,Medan,95.7,86,5,44,865,Food & Beverage
CUST00214,Female,41,Medan,61.8,61,11,31,446,Fashion
CUST00215,Female,26,Medan,96.1,92,7,48,807,Beauty
CUST00216,Male,51,Surabaya,49.5,26,58,10,221,Sports
CUST00217,Female,20,Jakarta,24.3,51,10,4,264,Food & Beverage
CUST00218,Male,48,Jakarta,61.0,66,5,30,574,Food & Beverage
CUST00219,Female,25,Makassar,33.0,48,11,1,165,Electronics
CUST00220,Male,48,Bandung,57.6,61,12,30,491,Food & Beverage
CUST00221,Male,20,Surabaya,37.0,45,6,10,114,Electronics
CUST00222,Male,44,Jakarta,47.0,37,46,9,181,Fashion
CUST00223,Male,22,Surabaya,98.4,90,11,37,840,Sports
CUST00224,Male,26,Surabaya,32.1,47,6,6,18,Home & Living
CUST00225,Male,43,Yogyakarta,50.3,39,62,9,272,Home & Living
CUST00226,Male,24,Yogyakarta,33.7,43,8,6,102,Home & Living
CUST00227,Female,49,Makassar,71.6,54,12,30,506,Beauty
CUST00228,Male,45,Surabaya,51.3,38,55,10,181,Electronics
CUST00229,Male,45,Bandung,39.7,37,63,7,68,Beauty
CUST00230,Female,41,Makassar,71.9,61,10,30,491,Home & Living
CUST00231,Male,26,Jakarta,31.5,55,3,5,282,Home & Living
CUST00232,Male,59,Bandung,17.9,10,93,4,173,Fashion
CUST00233,Female,22,Surabaya,27.4,53,2,1,225,Fashion
CUST00234,Female,43,Surabaya,71.1,63,13,29,491,Electronics
CUST00235,Male,42,Surabaya,67.4,53,13,31,590,Fashion
CUST00236,Female,55,Medan,12.4,11,97,4,10,Beauty
CUST00237,Female,65,Surabaya,24.3,11,93,1,10,Electronics
CUST00238,Female,27,Surabaya,93.0,84,4,44,923,Home & Living
CUST00239,Female,31,Bandung,80.6,88,3,46,960,Electronics
CUST00240,Female,27,Surabaya,84.2,86,4,41,908,Electronics
CUST00241,Female,49,Jakarta,50.0,33,52,14,285,Electronics
CUST00242,Male,40,Surabaya,69.7,57,13,30,356,Home & Living
CUST00243,Female,43,Jakarta,70.1,59,20,31,473,Beauty
CUST00244,Female,28,Jakarta,98.3,87,3,48,890,Electronics
CUST00245,Male,42,Makassar,45.0,28,56,14,277,Electronics
CUST00246,Male,43,Medan,61.7,71,12,30,397,Food & Beverage
CUST00247,Female,31,Surabaya,100.0,87,1,45,829,Fashion
CUST00248,Female,32,Palembang,97.0,82,1,43,869,Food & Beverage
CUST00249,Female,27,Surabaya,26.8,44,3,1,154,Electronics
CUST00250,Male,59,Jakarta,21.1,13,93,1,10,Fashion
CUST00251,Female,43,Bandung,52.5,40,56,13,244,Fashion
CUST00252,Male,44,Yogyakarta,52.5,42,60,12,198,Fashion
CUST00253,Male,44,Medan,47.2,44,57,10,152,Fashion
CUST00254,Male,61,Semarang,18.6,14,89,1,10,Electronics
CUST00255,Female,50,Jakarta,49.5,39,53,11,232,Home & Living
CUST00256,Male,62,Jakarta,18.1,12,95,1,116,Home & Living
CUST00257,Male,39,Bandung,61.1,55,10,32,459,Fashion
CUST00258,Female,45,Surabaya,38.4,32,50,7,113,Food & Beverage
CUST00259,Male,50,Jakarta,66.7,56,11,27,383,Sports
CUST00260,Male,53,Yogyakarta,50.1,35,60,12,223,Food & Beverage
CUST00261,Male,35,Jakarta,92.1,97,7,43,984,Fashion
CUST00262,Female,43,Jakarta,57.0,37,60,7,382,Fashion
CUST00263,Female,27,Surabaya,87.8,90,10,42,806,Beauty
CUST00264,Male,23,Bandung,104.5,86,1,46,926,Food & Beverage
CUST00265,Male,29,Bandung,97.7,92,3,46,1027,Fashion
CUST00266,Female,42,Surabaya,53.0,36,53,7,240,Food & Beverage
CUST00267,Male,23,Makassar,106.6,92,5,46,881,Beauty
CUST00268,Male,45,Surabaya,77.4,57,6,26,416,Home & Living
CUST00269,Male,28,Medan,97.1,83,5,42,964,Electronics
CUST00270,Female,50,Surabaya,57.6,38,60,9,114,Fashion
CUST00271,Female,24,Surabaya,30.1,52,9,4,161,Beauty
CUST00272,Male,50,Yogyakarta,48.5,31,65,9,326,Fashion
CUST00273,Female,22,Medan,32.0,44,10,5,264,Sports
CUST00274,Female,55,Bandung,12.1,16,92,1,68,Fashion
CUST00275,Female,46,Jakarta,54.1,34,62,11,270,Beauty
CUST00276,Female,26,Jakarta,25.9,47,7,1,163,Fashion
CUST00277,Female,26,Jakarta,30.1,45,7,6,228,Sports
CUST00278,Male,38,Medan,77.7,61,17,30,472,Fashion
CUST00279,Female,46,Jakarta,66.6,62,18,29,543,Fashion
CUST00280,Male,42,Bandung,62.2,60,4,32,388,Food & Beverage
CUST00281,Female,27,Bandung,95.4,88,8,46,928,Electronics
CUST00282,Male,26,Yogyakarta,86.8,81,1,48,896,Electronics
CUST00283,Female,54,Surabaya,15.0,12,94,1,190,Beauty
CUST00284,Male,27,Yogyakarta,22.7,46,12,1,94,Fashion
CUST00285,Male,43,Medan,58.5,58,19,33,465,Food & Beverage
CUST00286,Female,44,Surabaya,75.5,64,19,30,517,Fashion
CUST00287,Male,50,Bandung,51.2,33,58,10,212,Fashion
CUST00288,Female,24,Jakarta,26.9,46,5,3,230,Food & Beverage
CUST00289,Male,46,Yogyakarta,60.7,62,11,29,464,Fashion
CUST00290,Female,41,Medan,52.7,37,66,7,188,Home & Living
CUST00291,Female,24,Bandung,26.3,43,7,4,296,Food & Beverage
CUST00292,Male,40,Semarang,70.1,63,9,27,512,Home & Living
CUST00293,Male,43,Surabaya,62.7,65,12,31,383,Electronics
CUST00294,Male,27,Bandung,27.9,55,1,1,242,Food & Beverage
CUST00295,Female,22,Surabaya,30.6,47,2,6,281,Fashion
CUST00296,Male,29,Palembang,95.7,87,8,43,924,Fashion
CUST00297,Male,46,Semarang,75.7,58,11,29,422,Electronics
CUST00298,Female,41,Yogyakarta,73.3,67,18,27,501,Electronics
CUST00299,Female,26,Surabaya,97.1,86,4,49,1084,Beauty
CUST00300,Female,56,Bandung,19.7,15,94,2,10,Sports
CUST00301,Female,28,Jakarta,28.6,48,7,2,311,Fashion
CUST00302,Female,45,Jakarta,61.1,62,13,32,508,Home & Living
CUST00303,Female,46,Jakarta,39.0,37,55,10,242,Beauty
CUST00304,Female,45,Yogyakarta,68.3,56,9,29,463,Electronics
CUST00305,Female,59,Bandung,17.5,18,96,3,13,Sports
CUST00306,Female,23,Jakarta,28.6,54,2,2,10,Beauty
CUST00307,Female,36,Bandung,93.9,99,10,45,910,Home & Living
CUST00308,Female,62,Semarang,20.5,13,94,1,205,Sports
CUST00309,Male,44,Bandung,71.1,56,21,33,469,Fashion
CUST00310,Female,63,Yogyakarta,26.9,5,92,1,10,Beauty
CUST00311,Female,29,Yogyakarta,99.8,87,6,46,855,Sports
CUST00312,Female,28,Bandung,95.2,82,12,46,869,Electronics
CUST00313,Male,26,Jakarta,32.7,49,12,10,45,Electronics
CUST00314,Female,20,Semarang,30.8,56,3,4,191,Electronics
CUST00315,Male,23,Surabaya,28.1,48,7,3,58,Fashion
CUST00316,Male,19,Semarang,29.9,47,9,1,261,Beauty
CUST00317,Male,48,Surabaya,43.3,38,59,13,172,Home & Living
CUST00318,Female,24,Surabaya,36.7,50,13,5,233,Electronics
CUST00319,Female,27,Bandung,35.8,44,10,8,246,Food & Beverage
CUST00320,Male,40,Jakarta,65.0,64,7,31,553,Fashion
CUST00321,Male,28,Jakarta,40.6,47,9,7,130,Beauty
CUST00322,Male,33,Makassar,92.8,93,2,43,946,Beauty
CUST00323,Male,25,Palembang,31.9,56,5,1,289,Beauty
CUST00324,Male,25,Jakarta,33.9,48,11,2,207,Food & Beverage
CUST00325,Male,52,Semarang,52.7,35,59,11,94,Beauty
CUST00326,Male,19,Jakarta,98.4,86,4,45,875,Home & Living
CUST00327,Female,30,Bandung,96.0,82,3,45,1027,Food & Beverage
CUST00328,Female,27,Bandung,30.4,42,5,7,114,Home & Living
CUST00329,Female,23,Bandung,31.4,52,4,3,162,Fashion
CUST00330,Male,59,Surabaya,20.1,7,93,2,129,Home & Living
CUST00331,Female,43,Makassar,75.2,61,18,33,454,Food & Beverage
CUST00332,Female,31,Surabaya,64.3,59,13,27,629,Beauty
CUST00333,Male,44,Bandung,75.7,50,19,27,327,Beauty
CUST00334,Female,45,Jakarta,54.3,37,51,9,274,Fashion
CUST00335,Male,23,Bandung,40.4,52,3,7,243,Fashion
CUST00336,Male,41,Jakarta,74.3,61,18,32,331,Fashion
CUST00337,Female,35,Jakarta,95.9,85,1,45,822,Fashion
CUST00338,Female,25,Bandung,27.2,45,2,4,121,Electronics
CUST00339,Female,45,Surabaya,46.0,35,61,10,119,Sports
CUST00340,Male,44,Jakarta,64.1,60,11,30,403,Electronics
CUST00341,Male,35,Semarang,88.3,86,1,44,868,Beauty
CUST00342,Female,23,Makassar,94.8,91,7,48,819,Food & Beverage
CUST00343,Male,30,Yogyakarta,94.0,90,4,47,888,Beauty
CUST00344,Female,62,Palembang,17.9,9,100,5,10,Sports
CUST00345,Female,64,Jakarta,21.3,14,99,3,150,Beauty
CUST00346,Male,30,Surabaya,97.7,92,7,40,970,Fashion
CUST00347,Male,57,Medan,24.0,8,93,6,125,Fashion
CUST00348,Male,28,Makassar,36.4,54,8,4,158,Sports
CUST00349,Male,48,Jakarta,48.6,37,57,14,235,Fashion
CUST00350,Male,21,Bandung,41.6,59,4,4,91,Fashion
CUST00351,Male,27,Palembang,92.2,83,1,47,870,Fashion
CUST00352,Female,47,Surabaya,43.2,28,64,8,270,Food & Beverage
CUST00353,Female,27,Bandung,107.6,87,5,46,965,Food & Beverage
CUST00354,Male,31,Medan,91.0,81,6,48,888,Home & Living
CUST00355,Male,25,Surabaya,31.3,49,1,1,210,Electronics
CUST00356,Female,43,Semarang,72.5,65,17,33,443,Fashion
CUST00357,Male,47,Jakarta,70.0,57,12,31,492,Sports
CUST00358,Male,59,Jakarta,15.1,6,101,4,169,Electronics
CUST00359,Male,60,Surabaya,15.6,13,91,7,121,Fashion
CUST00360,Male,64,Palembang,15.5,8,91,4,111,Electronics
CUST00361,Female,22,Surabaya,24.8,50,9,4,166,Fashion
CUST00362,Male,55,Yogyakarta,26.0,12,96,1,53,Fashion
CUST00363,Male,24,Makassar,27.8,47,7,3,221,Sports
CUST00364,Female,25,Semarang,32.7,48,15,1,148,Beauty
CUST00365,Female,32,Surabaya,94.9,96,1,47,907,Electronics
CUST00366,Female,32,Surabaya,92.0,86,4,43,895,Electronics
CUST00367,Male,27,Medan,95.9,93,6,44,913,Food & Beverage
CUST00368,Male,30,Jakarta,26.3,50,6,4,33,Beauty
CUST00369,Female,60,Surabaya,16.4,14,99,1,17,Electronics
CUST00370,Male,61,Makassar,22.8,13,98,1,10,Electronics
CUST00371,Male,40,Jakarta,54.5,42,53,5,202,Home & Living
CUST00372,Female,28,Makassar,91.4,95,9,41,946,Fashion
CUST00373,Female,61,Bandung,24.8,5,94,4,11,Electronics
CUST00374,Male,59,Bandung,15.4,9,90,1,71,Fashion
CUST00375,Female,42,Medan,51.4,38,63,7,381,Electronics
CUST00376,Male,42,Medan,46.3,33,59,9,278,Fashion
CUST00377,Female,40,Bandung,68.6,58,14,27,608,Beauty
CUST00378,Female,31,Semarang,96.8,89,1,47,875,Home & Living
CUST00379,Female,50,Surabaya,42.1,38,57,9,167,Fashion
CUST00380,Male,34,Makassar,92.1,92,16,48,993,Fashion
CUST00381,Female,48,Jakarta,54.6,34,55,14,244,Electronics
CUST00382,Male,20,Semarang,35.0,51,10,6,99,Food & Beverage
CUST00383,Female,27,Surabaya,92.6,92,7,45,742,Electronics
CUST00384,Male,48,Medan,46.7,30,60,9,226,Sports
CUST00385,Female,20,Jakarta,26.5,51,7,2,61,Fashion
CUST00386,Female,19,Surabaya,38.9,52,4,3,153,Home & Living
CUST00387,Male,26,Palembang,21.3,47,8,6,11,Fashion
CUST00388,Female,42,Bandung,61.6,63,11,30,489,Beauty
CUST00389,Male,58,Bandung,24.1,11,96,5,195,Fashion
CUST00390,Male,46,Jakarta,55.0,35,56,10,116,Electronics
CUST00391,Male,24,Bandung,33.6,50,2,3,295,Electronics
CUST00392,Male,43,Makassar,67.8,51,15,32,381,Electronics
CUST00393,Male,28,Surabaya,88.6,86,11,45,882,Fashion
CUST00394,Male,30,Bandung,91.1,80,12,48,890,Home & Living
CUST00395,Female,48,Medan,44.9,30,60,11,235,Food & Beverage
CUST00396,Male,19,Surabaya,100.2,83,1,45,982,Electronics
CUST00397,Male,50,Surabaya,46.8,33,57,10,151,Sports
CUST00398,Female,25,Jakarta,29.2,52,3,7,109,Electronics
CUST00399,Male,26,Jakarta,29.3,53,9,2,161,Food & Beverage
CUST00400,Female,28,Jakarta,93.1,83,3,47,821,Beauty
CUST00401,Female,63,Jakarta,18.9,10,96,3,10,Sports
CUST00402,Male,20,Semarang,32.9,53,7,1,124,Fashion
CUST00403,Female,26,Jakarta,31.9,48,1,5,239,Food & Beverage
CUST00404,Female,33,Yogyakarta,98.3,84,1,47,888,Fashion
CUST00405,Female,23,Bandung,25.5,49,9,4,303,Electronics
CUST00406,Male,62,Bandung,22.5,13,91,2,52,Food & Beverage
