CustomerID,Gender,Age,City,AnnualIncome_juta,SpendingScore,Recency_hari,Frequency_bulan,MonetaryValue_ribu,PreferredCategory,Cluster_KMeans,Cluster_Agg,Segment
CUST00038,Female,63,Surabaya,26.0,7,101,1,10,Food & Beverage,0,0,Champions
CUST00039,Female,51,Bandung,50.7,33,60,9,278,Food & Beverage,4,1,Lost Customers
CUST00040,Male,24,Jakarta,29.1,46,7,3,262,Food & Beverage,3,2,New Customers
CUST00041,Female,20,Makassar,40.9,53,2,2,365,Fashion,3,2,New Customers
CUST00042,Female,28,Semarang,91.2,94,16,44,1066,Beauty,2,3,At Risk
CUST00043,Female,23,Palembang,18.6,53,5,4,224,Home & Living,3,2,New Customers
CUST00044,Female,49,Surabaya,43.3,33,59,10,226,Food & Beverage,4,1,Lost Customers
CUST00045,Female,26,Makassar,90.1,85,1,46,978,Food & Beverage,2,3,At Risk
CUST00046,Male,46,Medan,65.5,61,11,27,421,Beauty,1,4,Loyal Customers
CUST00047,Female,32,Jakarta,102.3,90,4,46,945,Sports,2,3,At Risk
CUST00048,Male,38,Surabaya,74.2,62,14,32,388,Food & Beverage,1,4,Loyal Customers
CUST00049,Male,34,Jakarta,106.6,82,1,44,821,Electronics,2,3,At Risk
CUST00050,Male,59,Surabaya,24.3,12,92,1,10,Food & Beverage,0,0,Champions
CUST00051,Male,27,Yogyakarta,96.4,83,8,40,963,Food & Beverage,2,3,At Risk
CUST00052,Male,66,Jakarta,26.1,14,94,2,258,Beauty,0,0,Champions
CUST00053,Female,31,Yogyakarta,94.9,84,4,38,876,Fashion,2,3,At Risk
CUST00054,Male,47,Surabaya,48.7,33,52,14,107,Home & Living,4,1,Lost Customers
CUST00055,Female,20,Semarang,87.6,87,1,43,908,Electronics,2,3,At Risk
CUST00056,Female,57,Medan,20.8,12,101,1,100,Fashion,0,0,Champions
CUST00057,Female,30,Medan,93.5,90,8,48,1047,Fashion,2,3,At Risk
CUST00058,Male,56,Bandung,14.7,4,97,1,78,Electronics,0,0,Champions
CUST00059,Male,49,Bandung,65.3,63,17,28,626,Home & Living,1,4,Loyal Customers
CUST00060,Male,34,Yogyakarta,99.1,87,9,43,840,Fashion,2,3,At Risk
CUST00061,Male,43,Medan,51.7,32,62,7,67,Electronics,4,1,Lost Customers
CUST00062,Female,61,Medan,20.6,15,97,4,10,Electronics,0,0,Champions
CUST00063,Female,45,Surabaya,72.8,65,9,30,341,Beauty,1,4,Loyal Customers
CUST00064,Male,28,Jakarta,89.6,89,1,45,930,Electronics,2,3,At Risk
CUST00065,Male,45,Jakarta,57.1,38,59,11,279,Beauty,4,1,Lost Customers
CUST00066,Male,44,Palembang,36.4,37,56,12,150,Food & Beverage,4,1,Lost Customers
CUST00067,Male,21,Semarang,92.7,89,6,43,1026,Electronics,2,3,At Risk
CUST00068,Male,25,Palembang,87.8,89,5,44,900,Sports,2,3,At Risk
CUST00069,Female,48,Semarang,44.1,34,59,6,76,Food & Beverage,4,1,Lost Customers
CUST00070,Female,21,Jakarta,27.1,47,12,6,94,Fashion,3,2,New Customers
CUST00071,Female,39,Bandung,61.4,61,8,32,468,Fashion,1,4,Loyal Customers
CUST00072,Male,25,Jakarta,28.0,52,1,6,85,Fashion,3,2,New Customers
CUST00073,Male,27,Makassar,30.0,45,8,6,253,Electronics,3,2,New Customers
CUST00074,Female,24,Jakarta,34.8,52,6,3,56,Electronics,3,2,New Customers
CUST00075,Female,41,Medan,68.0,67,9,29,368,Fashion,1,4,Loyal Customers
CUST00076,Female,45,Medan,72.4,60,18,32,573,Food & Beverage,1,4,Loyal Customers
CUST00077,Female,62,Medan,20.4,11,92,2,115,Home & Living,0,0,Champions
CUST00078,Female,25,Makassar,101.6,88,4,39,976,Fashion,2,3,At Risk
CUST00079,Female,51,Semarang,40.7,40,57,10,180,Electronics,4,1,Lost Customers
CUST00080,Female,62,Surabaya,23.9,13,95,1,10,Electronics,0,0,Champions
CUST00081,Female,45,Surabaya,45.2,34,62,13,274,Fashion,4,1,Lost Customers
CUST00082,Female,26,Jakarta,30.4,54,1,1,256,Home & Living,3,2,New Customers
CUST00083,Male,30,Yogyakarta,95.9,91,2,46,921,Fashion,2,3,At Risk
CUST00084,Female,49,Jakarta,49.9,42,57,9,244,Electronics,4,1,Lost Customers
CUST00085,Female,51,Bandung,39.1,39,58,14,170,Beauty,4,1,Lost Customers
CUST00086,Male,23,Bandung,98.7,89,1,43,915,Home & Living,2,3,At Risk
CUST00087,Female,41,Bandung,72.6,60,24,31,501,Sports,1,4,Loyal Customers
CUST00088,Male,42,Bandung,66.5,58,11,28,376,Food & Beverage,1,4,Loyal Customers
CUST00089,Male,55,Semarang,26.0,12,98,1,10,Food & Beverage,0,0,Champions
CUST00090,Female,31,Jakarta,90.9,95,1,43,998,Sports,2,3,At Risk
CUST00091,Male,41,Jakarta,62.1,64,5,28,423,Food & Beverage,1,4,Loyal Customers
CUST00092,Female,62,Makassar,20.2,12,95,1,33,Food & Beverage,0,0,Champions
CUST00093,Male,44,Bandung,70.0,58,20,26,499,Electronics,1,4,Loyal Customers
CUST00094,Male,65,Jakarta,15.9,16,97,4,61,Fashion,0,0,Champions
CUST00095,Female,47,Medan,70.8,56,9,33,375,Food & Beverage,1,4,Loyal Customers
CUST00096,Male,23,Jakarta,88.4,90,2,43,884,Food & Beverage,2,3,At Risk
CUST00097,Male,60,Jakarta,17.4,13,100,1,10,Fashion,0,0,Champions
CUST00098,Male,61,Surabaya,16.6,11,96,6,14,Home & Living,0,0,Champions
CUST00099,Female,26,Surabaya,97.4,86,9,45,910,Electronics,2,3,At Risk
CUST00100,Female,46,Makassar,49.7,39,61,8,212,Beauty,4,1,Lost Customers
CUST00101,Male,19,Surabaya,32.6,51,10,3,122,Home & Living,3,2,New Customers
CUST00102,Female,42,Semarang,60.7,65,9,33,504,Beauty,1,4,Loyal Customers
CUST00103,Male,45,Bandung,42.9,39,61,15,407,Electronics,4,1,Lost Customers
CUST00104,Female,64,Jakarta,18.5,15,97,3,42,Home & Living,0,0,Champions
CUST00105,Female,29,Jakarta,95.2,89,7,45,832,Home & Living,2,3,At Risk
CUST00106,Female,24,Jakarta,91.9,86,7,46,867,Electronics,2,3,At Risk
CUST00107,Female,22,Surabaya,33.7,43,4,7,329,Fashion,3,2,New Customers
CUST00108,Female,25,Palembang,89.4,91,3,45,811,Fashion,2,3,At Risk
CUST00109,Male,22,Jakarta,30.8,51,1,7,309,Fashion,3,2,New Customers
CUST00110,Female,25,Surabaya,96.5,89,2,41,907,Electronics,2,3,At Risk
CUST00111,Female,59,Makassar,25.7,15,101,1,111,Fashion,0,0,Champions
CUST00112,Male,63,Makassar,19.2,14,101,2,10,Home & Living,0,0,Champions
CUST00113,Male,25,Semarang,27.2,48,6,2,270,Beauty,3,2,New Customers
CUST00114,Female,30,Bandung,91.6,84,3,41,879,Fashion,2,3,At Risk
CUST00115,Male,22,Medan,33.3,51,4,1,237,Fashion,3,2,New Customers
CUST00116,Male,44,Bandung,63.3,59,16,32,496,Fashion,1,4,Loyal Customers
CUST00117,Male,45,Makassar,65.9,62,11,33,353,Food & Beverage,1,4,Loyal Customers
CUST00118,Female,48,Surabaya,49.1,33,59,8,126,Electronics,4,1,Lost Customers
CUST00119,Male,23,Makassar,24.4,58,13,7,68,Food & Beverage,3,2,New Customers
CUST00120,Male,27,Medan,82.9,85,6,48,866,Sports,2,3,At Risk
CUST00121,Female,26,Bandung,99.2,93,2,47,892,Food & Beverage,2,3,At Risk
CUST00122,Female,68,Medan,18.3,14,97,1,60,Fashion,0,0,Champions
CUST00123,Female,46,Surabaya,48.9,35,58,9,84,Electronics,4,1,Lost Customers
CUST00124,Female,26,Surabaya,41.2,56,9,6,221,Food & Beverage,3,2,New Customers
CUST00125,Female,30,Makassar,97.2,90,7,40,926,Electronics,2,3,At Risk
CUST00126,Female,27,Surabaya,38.1,51,9,1,107,Fashion,3,2,New Customers
CUST00127,Female,45,Medan,82.1,59,16,28,542,Fashion,1,4,Loyal Customers
CUST00128,Female,44,Medan,48.2,37,60,12,272,Fashion,4,1,Lost Customers
CUST00129,Male,28,Makassar,94.5,86,6,44,967,Sports,2,3,At Risk
CUST00130,Female,58,Bandung,20.8,11,93,4,10,Home & Living,0,0,Champions
CUST00131,Male,45,Yogyakarta,42.2,37,67,12,190,Electronics,4,1,Lost Customers
CUST00132,Male,42,Palembang,65.8,59,20,30,560,Fashion,1,4,Loyal Customers
CUST00133,Male,24,Jakarta,38.4,47,10,5,258,Home & Living,3,2,New Customers
CUST00134,Male,21,Semarang,32.8,53,3,3,253,Beauty,3,2,New Customers
CUST00135,Male,44,Medan,65.3,57,13,34,450,Food & Beverage,1,4,Loyal Customers
CUST00136,Male,33,Bandung,95.1,90,1,48,885,Beauty,2,3,At Risk
CUST00137,Female,23,Surabaya,33.0,47,10,1,215,Fashion,3,2,New Customers
CUST00138,Female,38,Jakarta,65.4,56,10,26,581,Electronics,1,4,Loyal Customers
CUST00139,Female,25,Medan,86.0,83,7,50,864,Sports,2,3,At Risk
CUST00140,Male,44,Surabaya,51.1,39,60,16,284,Fashion,4,1,Lost Customers
CUST00141,Female,26,Bandung,93.9,87,5,42,878,Electronics,2,3,At Risk
CUST00142,Male,43,Jakarta,65.0,58,11,27,492,Home & Living,1,4,Loyal Customers
CUST00143,Male,29,Jakarta,32.6,45,5,5,153,Fashion,3,2,New Customers
CUST00144,Female,45,Makassar,65.4,57,13,32,462,Electronics,1,4,Loyal Customers
CUST00145,Female,24,Jakarta,96.1,94,8,44,906,Beauty,2,3,At Risk
CUST00146,Male,63,Jakarta,27.8,12,90,1,70,Electronics,0,0,Champions
CUST00147,Male,21,Bandung,30.8,47,9,3,187,Food & Beverage,3,2,New Customers
CUST00148,Female,61,Semarang,10.8,15,98,4,35,Food & Beverage,0,0,Champions
CUST00149,Male,48,Jakarta,66.2,58,25,32,355,Sports,1,4,Loyal Customers
CUST00150,Male,62,Bandung,19.5,11,95,1,10,Fashion,0,0,Champions
CUST00151,Female,46,Medan,66.5,57,19,33,481,Food & Beverage,1,4,Loyal Customers
CUST00152,Female,22,Semarang,31.7,49,3,5,127,Fashion,3,2,New Customers
CUST00153,Male,31,Yogyakarta,23.5,49,1,3,302,Fashion,3,2,New Customers
CUST00154,Female,21,Jakarta,32.9,52,6,2,114,Electronics,3,2,New Customers
CUST00155,Female,32,Yogyakarta,98.9,90,1,42,996,Beauty,2,3,At Risk
CUST00156,Male,27,Palembang,94.1,90,1,43,850,Electronics,2,3,At Risk
CUST00157,Male,24,Makassar,34.9,47,14,2,235,Electronics,3,2,New Customers
CUST00158,Female,28,Yogyakarta,29.0,52,3,1,208,Home & Living,3,2,New Customers
CUST00159,Male,49,Jakarta,70.7,57,15,28,555,Food & Beverage,1,4,Loyal Customers
CUST00160,Female,29,Palembang,93.1,94,6,44,899,Home & Living,2,3,At Risk
CUST00161,Female,45,Semarang,70.0,58,11,26,512,Food & Beverage,1,4,Loyal Customers
CUST00162,Male,49,Jakarta,48.7,34,60,6,171,Sports,4,1,Lost Customers
CUST00163,Female,27,Medan,28.5,53,6,3,132,Sports,3,2,New Customers
CUST00164,Male,48,Semarang,50.3,43,58,10,174,Home & Living,4,1,Lost Customers
CUST00165,Female,66,Medan,21.9,12,94,2,10,Fashion,0,0,Champions
CUST00166,Male,27,Makassar,94.8,88,5,45,1003,Electronics,2,3,At Risk
CUST00167,Female,25,Semarang,96.9,87,3,42,828,Food & Beverage,2,3,At Risk
CUST00168,Male,41,Jakarta,75.5,67,11,29,446,Electronics,1,4,Loyal Customers
CUST00169,Male,43,Surabaya,64.0,63,10,31,486,Beauty,1,4,Loyal Customers
CUST00170,Female,62,Bandung,20.6,16,88,3,111,Food & Beverage,0,0,Champions
CUST00171,Male,44,Surabaya,48.2,33,58,8,260,Food & Beverage,4,1,Lost Customers
CUST00172,Male,46,Medan,60.8,63,15,27,386,Electronics,1,4,Loyal Customers
CUST00173,Female,50,Jakarta,37.2,33,51,9,273,Food & Beverage,4,1,Lost Customers
CUST00174,Male,41,Surabaya,61.6,62,18,32,454,Electronics,1,4,Loyal Customers
CUST00175,Female,46,Jakarta,54.9,63,16,30,503,Fashion,1,4,Loyal Customers
CUST00176,Female,28,Surabaya,93.3,82,1,46,947,Fashion,2,3,At Risk
CUST00177,Female,43,Semarang,57.5,61,13,32,472,Electronics,1,4,Loyal Customers
CUST00178,Male,46,Jakarta,46.6,35,56,9,225,Fashion,4,1,Lost Customers
CUST00179,Male,45,Yogyakarta,44.5,33,61,10,360,Home & Living,4,1,Lost Customers
CUST00180,Female,47,Medan,41.8,34,56,14,188,Electronics,4,1,Lost Customers
CUST00181,Male,47,Surabaya,67.1,67,17,30,516,Food & Beverage,1,4,Loyal Customers
CUST00182,Female,47,Bandung,53.0,38,60,11,293,Fashion,4,1,Lost Customers
CUST00183,Male,40,Medan,68.1,58,12,33,457,Home & Living,1,4,Loyal Customers
CUST00184,Male,52,Semarang,50.2,39,55,12,109,Food & Beverage,4,1,Lost Customers
CUST00185,Female,40,Makassar,63.9,59,8,29,499,Home & Living,1,4,Loyal Customers
CUST00186,Male,59,Surabaya,17.0,13,95,1,10,Sports,0,0,Champions
CUST00187,Male,20,Makassar,28.6,53,1,6,127,Food & Beverage,3,2,New Customers
CUST00188,Male,37,Makassar,91.7,85,1,41,880,Electronics,2,3,At Risk
CUST00189,Female,27,Makassar,94.1,92,9,43,875,Electronics,2,3,At Risk
CUST00190,Male,23,Jakarta,34.8,47,16,3,323,Electronics,3,2,New Customers
CUST00191,Female,35,Jakarta,100.0,90,1,48,999,Fashion,2,3,At Risk
CUST00192,Male,28,Medan,91.2,96,5,39,950,Home & Living,2,3,At Risk
CUST00193,Male,48,Palembang,69.9,57,19,35,540,Beauty,1,4,Loyal Customers
CUST00194,Male,32,Jakarta,35.3,44,8,3,154,Food & Beverage,3,2,New Customers
CUST00195,Male,30,Semarang,89.9,93,7,45,955,Food & Beverage,2,3,At Risk
CUST00196,Male,40,Jakarta,66.4,63,12,37,447,Beauty,1,4,Loyal Customers
CUST00197,Male,22,Palembang,31.4,47,7,3,125,Electronics,3,2,New Customers
CUST00198,Female,62,Makassar,22.5,15,95,1,10,Fashion,0,0,Champions
CUST00199,Female,48,Surabaya,61.0,64,15,34,621,Electronics,1,4,Loyal Customers
CUST00200,Female,24,Jakarta,44.6,40,4,3,171,Sports,3,2,New Customers
CUST00201,Female,25,Bandung,97.1,77,5,43,888,Electronics,2,3,At Risk
CUST00202,Male,28,Bandung,45.2,44,13,4,235,Sports,3,2,New Customers
CUST00203,Male,67,Bandung,18.1,15,95,4,106,Home & Living,0,0,Champions
CUST00204,Female,57,Makassar,28.6,18,97,1,155,Food & Beverage,0,0,Champions
CUST00205,Female,57,Palembang,19.8,14,98,5,10,Fashion,0,0,Champions
CUST00206,Male,60,Bandung,19.0,5,95,3,165,Food & Beverage,0,0,Champions
CUST00207,Female,59,Jakarta,17.8,13,100,1,10,Food & Beverage,0,0,Champions
CUST00208,Male,47,Surabaya,69.8,55,8,33,384,Food & Beverage,1,4,Loyal Customers
CUST00209,Female,46,Semarang,48.9,25,57,13,102,Beauty,4,1,Lost Customers
CUST00210,Male,61,Medan,24.3,17,92,2,74,Electronics,0,0,Champions
CUST00211,Male,49,Jakarta,71.3,58,17,29,373,Electronics,1,4,Loyal Customers
CUST00212,Male,45,Jakarta,68.8,62,18,32,518,Home & Living,1,4,Loyal Customers
CUST00213,Male,27,Medan,95.7,86,5,44,865,Food & Beverage,2,3,At Risk
CUST00214,Female,41,Medan,61.8,61,11,31,446,Fashion,1,4,Loyal Customers
CUST00215,Female,26,Medan,96.1,92,7,48,807,Beauty,2,3,At Risk
CUST00216,Male,51,Surabaya,49.5,26,58,10,221,Sports,4,1,Lost Customers
CUST00217,Female,20,Jakarta,24.3,51,10,4,264,Food & Beverage,3,2,New Customers
CUST00218,Male,48,Jakarta,61.0,66,5,30,574,Food & Beverage,1,4,Loyal Customers
CUST00219,Female,25,Makassar,33.0,48,11,1,165,Electronics,3,2,New Customers
CUST00220,Male,48,Bandung,57.6,61,12,30,491,Food & Beverage,1,4,Loyal Customers
CUST00221,Male,20,Surabaya,37.0,45,6,10,114,Electronics,3,2,New Customers
CUST00222,Male,44,Jakarta,47.0,37,46,9,181,Fashion,4,1,Lost Customers
CUST00223,Male,22,Surabaya,98.4,90,11,37,840,Sports,2,3,At Risk
CUST00224,Male,26,Surabaya,32.1,47,6,6,18,Home & Living,3,2,New Customers
CUST00225,Male,43,Yogyakarta,50.3,39,62,9,272,Home & Living,4,1,Lost Customers
CUST00226,Male,24,Yogyakarta,33.7,43,8,6,102,Home & Living,3,2,New Customers
CUST00227,Female,49,Makassar,71.6,54,12,30,506,Beauty,1,4,Loyal Customers
CUST00228,Male,45,Surabaya,51.3,38,55,10,181,Electronics,4,1,Lost Customers
CUST00229,Male,45,Bandung,39.7,37,63,7,68,Beauty,4,1,Lost Customers
CUST00230,Female,41,Makassar,71.9,61,10,30,491,Home & Living,1,4,Loyal Customers
CUST00231,Male,26,Jakarta,31.5,55,3,5,282,Home & Living,3,2,New Customers
CUST00232,Male,59,Bandung,17.9,10,93,4,173,Fashion,0,0,Champions
CUST00233,Female,22,Surabaya,27.4,53,2,1,225,Fashion,3,2,New Customers
CUST00234,Female,43,Surabaya,71.1,63,13,29,491,Electronics,1,4,Loyal Customers
CUST00235,Male,42,Surabaya,67.4,53,13,31,590,Fashion,1,4,Loyal Customers
CUST00236,Female,55,Medan,12.4,11,97,4,10,Beauty,0,0,Champions
CUST00237,Female,65,Surabaya,24.3,11,93,1,10,Electronics,0,0,Champions
CUST00238,Female,27,Surabaya,93.0,84,4,44,923,Home & Living,2,3,At Risk
CUST00239,Female,31,Bandung,80.6,88,3,46,960,Electronics,2,3,At Risk
CUST00240,Female,27,Surabaya,84.2,86,4,41,908,Electronics,2,3,At Risk
CUST00241,Female,49,Jakarta,50.0,33,52,14,285,Electronics,4,1,Lost Customers
CUST00242,Male,40,Surabaya,69.7,57,13,30,356,Home & Living,1,4,Loyal Customers
CUST00243,Female,43,Jakarta,70.1,59,20,31,473,Beauty,1,4,Loyal Customers
CUST00244,Female,28,Jakarta,98.3,87,3,48,890,Electronics,2,3,At Risk
CUST00245,Male,42,Makassar,45.0,28,56,14,277,Electronics,4,1,Lost Customers
CUST00246,Male,43,Medan,61.7,71,12,30,397,Food & Beverage,1,4,Loyal Customers
CUST00247,Female,31,Surabaya,100.0,87,1,45,829,Fashion,2,3,At Risk
CUST00248,Female,32,Palembang,97.0,82,1,43,869,Food & Beverage,2,3,At Risk
CUST00249,Female,27,Surabaya,26.8,44,3,1,154,Electronics,3,2,New Customers
CUST00250,Male,59,Jakarta,21.1,13,93,1,10,Fashion,0,0,Champions
CUST00251,Female,43,Bandung,52.5,40,56,13,244,Fashion,4,1,Lost Customers
CUST00252,Male,44,Yogyakarta,52.5,42,60,12,198,Fashion,4,1,Lost Customers
CUST00253,Male,44,Medan,47.2,44,57,10,152,Fashion,4,1,Lost Customers
CUST00254,Male,61,Semarang,18.6,14,89,1,10,Electronics,0,0,Champions
CUST00255,Female,50,Jakarta,49.5,39,53,11,232,Home & Living,4,1,Lost Customers
CUST00256,Male,62,Jakarta,18.1,12,95,1,116,Home & Living,0,0,Champions
CUST00257,Male,39,Bandung,61.1,55,10,32,459,Fashion,1,4,Loyal Customers
CUST00258,Female,45,Surabaya,38.4,32,50,7,113,Food & Beverage,4,1,Lost Customers
CUST00259,Male,50,Jakarta,66.7,56,11,27,383,Sports,1,4,Loyal Customers
CUST00260,Male,53,Yogyakarta,50.1,35,60,12,223,Food & Beverage,4,1,Lost Customers
CUST00261,Male,35,Jakarta,92.1,97,7,43,984,Fashion,2,3,At Risk
CUST00262,Female,43,Jakarta,57.0,37,60,7,382,Fashion,4,1,Lost Customers
CUST00263,Female,27,Surabaya,87.8,90,10,42,806,Beauty,2,3,At Risk
CUST00264,Male,23,Bandung,104.5,86,1,46,926,Food & Beverage,2,3,At Risk
CUST00265,Male,29,Bandung,97.7,92,3,46,1027,Fashion,2,3,At Risk
CUST00266,Female,42,Surabaya,53.0,36,53,7,240,Food & Beverage,4,1,Lost Customers
CUST00267,Male,23,Makassar,106.6,92,5,46,881,Beauty,2,3,At Risk
CUST00268,Male,45,Surabaya,77.4,57,6,26,416,Home & Living,1,4,Loyal Customers
CUST00269,Male,28,Medan,97.1,83,5,42,964,Electronics,2,3,At Risk
CUST00270,Female,50,Surabaya,57.6,38,60,9,114,Fashion,4,1,Lost Customers
CUST00271,Female,24,Surabaya,30.1,52,9,4,161,Beauty,3,2,New Customers
CUST00272,Male,50,Yogyakarta,48.5,31,65,9,326,Fashion,4,1,Lost Customers
CUST00273,Female,22,Medan,32.0,44,10,5,264,Sports,3,2,New Customers
CUST00274,Female,55,Bandung,12.1,16,92,1,68,Fashion,0,0,Champions
CUST00275,Female,46,Jakarta,54.1,34,62,11,270,Beauty,4,1,Lost Customers
CUST00276,Female,26,Jakarta,25.9,47,7,1,163,Fashion,3,2,New Customers
CUST00277,Female,26,Jakarta,30.1,45,7,6,228,Sports,3,2,New Customers
CUST00278,Male,38,Medan,77.7,61,17,30,472,Fashion,1,4,Loyal Customers
CUST00279,Female,46,Jakarta,66.6,62,18,29,543,Fashion,1,4,Loyal Customers
CUST00280,Male,42,Bandung,62.2,60,4,32,388,Food & Beverage,1,4,Loyal Customers
CUST00281,Female,27,Bandung,95.4,88,8,46,928,Electronics,2,3,At Risk
CUST00282,Male,26,Yogyakarta,86.8,81,1,48,896,Electronics,2,3,At Risk
CUST00283,Female,54,Surabaya,15.0,12,94,1,190,Beauty,0,0,Champions
CUST00284,Male,27,Yogyakarta,22.7,46,12,1,94,Fashion,3,2,New Customers
CUST00285,Male,43,Medan,58.5,58,19,33,465,Food & Beverage,1,4,Loyal Customers
CUST00286,Female,44,Surabaya,75.5,64,19,30,517,Fashion,1,4,Loyal Customers
CUST00287,Male,50,Bandung,51.2,33,58,10,212,Fashion,4,1,Lost Customers
CUST00288,Female,24,Jakarta,26.9,46,5,3,230,Food & Beverage,3,2,New Customers
CUST00289,Male,46,Yogyakarta,60.7,62,11,29,464,Fashion,1,4,Loyal Customers
CUST00290,Female,41,Medan,52.7,37,66,7,188,Home & Living,4,1,Lost Customers
CUST00291,Female,24,Bandung,26.3,43,7,4,296,Food & Beverage,3,2,New Customers
CUST00292,Male,40,Semarang,70.1,63,9,27,512,Home & Living,1,4,Loyal Customers
CUST00293,Male,43,Surabaya,62.7,65,12,31,383,Electronics,1,4,Loyal Customers
CUST00294,Male,27,Bandung,27.9,55,1,1,242,Food & Beverage,3,2,New Customers
CUST00295,Female,22,Surabaya,30.6,47,2,6,281,Fashion,3,2,New Customers
CUST00296,Male,29,Palembang,95.7,87,8,43,924,Fashion,2,3,At Risk
CUST00297,Male,46,Semarang,75.7,58,11,29,422,Electronics,1,4,Loyal Customers
CUST00298,Female,41,Yogyakarta,73.3,67,18,27,501,Electronics,1,4,Loyal Customers
CUST00299,Female,26,Surabaya,97.1,86,4,49,1084,Beauty,2,3,At Risk
CUST00300,Female,56,Bandung,19.7,15,94,2,10,Sports,0,0,Champions
CUST00301,Female,28,Jakarta,28.6,48,7,2,311,Fashion,3,2,New Customers
CUST00302,Female,45,Jakarta,61.1,62,13,32,508,Home & Living,1,4,Loyal Customers
CUST00303,Female,46,Jakarta,39.0,37,55,10,242,Beauty,4,1,Lost Customers
CUST00304,Female,45,Yogyakarta,68.3,56,9,29,463,Electronics,1,4,Loyal Customers
CUST00305,Female,59,Bandung,17.5,18,96,3,13,Sports,0,0,Champions
CUST00306,Female,23,Jakarta,28.6,54,2,2,10,Beauty,3,2,New Customers
CUST00307,Female,36,Bandung,93.9,99,10,45,910,Home & Living,2,3,At Risk
CUST00308,Female,62,Semarang,20.5,13,94,1,205,Sports,0,0,Champions
CUST00309,Male,44,Bandung,71.1,56,21,33,469,Fashion,1,4,Loyal Customers
CUST00310,Female,63,Yogyakarta,26.9,5,92,1,10,Beauty,0,0,Champions
CUST00311,Female,29,Yogyakarta,99.8,87,6,46,855,Sports,2,3,At Risk
CUST00312,Female,28,Bandung,95.2,82,12,46,869,Electronics,2,3,At Risk
CUST00313,Male,26,Jakarta,32.7,49,12,10,45,Electronics,3,2,New Customers
